rho R(km) M(SM) 
1546171.917119 9170.516946 0.387956 
1547718.089037 9168.950455 0.388120 
1549265.807126 9167.383511 0.388284 
1550815.072933 9165.820589 0.388448 
1552365.888006 9164.256459 0.388611 
1553918.253894 9162.691117 0.388775 
1555472.172148 9161.148456 0.388938 
1557027.644320 9159.626249 0.389101 
1558584.671964 9158.102695 0.389264 
1560143.256636 9156.577806 0.389426 
1561703.399893 9155.051591 0.389588 
1563265.103292 9153.524062 0.389750 
1564828.368396 9151.995229 0.389911 
1566393.196764 9150.465102 0.390073 
1567959.589961 9148.945557 0.390234 
1569527.549551 9147.429980 0.390394 
1571097.077100 9145.913079 0.390555 
1572668.174178 9144.394863 0.390715 
1574240.842352 9142.875342 0.390874 
1575815.083194 9141.354527 0.391034 
1577390.898277 9139.832428 0.391193 
1578968.289176 9138.309055 0.391352 
1580547.257465 9136.784417 0.391510 
1582127.804722 9135.258526 0.391669 
1583709.932527 9133.731390 0.391827 
1585293.642459 9132.203020 0.391984 
1586878.936102 9130.673425 0.392142 
1588465.815038 9129.176718 0.392305 
1590054.280853 9127.690916 0.392470 
1591644.335134 9126.203631 0.392635 
1593235.979469 9124.714876 0.392800 
1594829.215448 9123.224660 0.392964 
1596424.044664 9121.732996 0.393129 
1598020.468709 9120.239893 0.393292 
1599618.489177 9118.745363 0.393456 
1601218.107666 9117.249416 0.393619 
1602819.325774 9115.752064 0.393782 
1604422.145100 9114.253316 0.393945 
1606026.567245 9112.753183 0.394107 
1607632.593812 9111.251683 0.394269 
1609240.226406 9109.748842 0.394430 
1610849.466633 9108.244648 0.394592 
1612460.316099 9106.739110 0.394753 
1614072.776415 9105.232240 0.394914 
1615686.849192 9103.724048 0.395074 
1617302.536041 9102.214544 0.395234 
1618919.838577 9100.703737 0.395394 
1620538.758415 9099.191639 0.395554 
1622159.297174 9097.678259 0.395713 
1623781.456471 9096.164233 0.395872 
1625405.237928 9094.649628 0.396030 
1627030.643165 9093.133768 0.396189 
1628657.673809 9091.617191 0.396347 
1630286.331482 9090.100406 0.396505 
1631916.617814 9088.582390 0.396662 
1633548.534432 9087.063153 0.396819 
1635182.082966 9085.542705 0.396976 
1636817.265049 9084.021054 0.397133 
1638454.082314 9082.498211 0.397289 
1640092.536396 9081.001999 0.397446 
1641732.628933 9079.518361 0.397604 
1643374.361562 9078.036064 0.397762 
1645017.735923 9076.572522 0.397923 
1646662.753659 9075.107906 0.398084 
1648309.416413 9073.642226 0.398245 
1649957.725829 9072.175491 0.398405 
1651607.683555 9070.707707 0.398565 
1653259.291239 9069.238884 0.398725 
1654912.550530 9067.769547 0.398885 
1656567.463081 9066.305844 0.399044 
1658224.030544 9064.841101 0.399203 
1659882.254574 9063.375327 0.399362 
1661542.136829 9061.908529 0.399520 
1663203.678966 9060.440715 0.399678 
1664866.882645 9058.971894 0.399836 
1666531.749527 9057.502074 0.399994 
1668198.281277 9056.031262 0.400151 
1669866.479558 9054.564985 0.400308 
1671536.346038 9053.099855 0.400465 
